,"('num_occur', 'index', 0)","('num_occur', 'score', 0)","('num_occur', 'index', 1)","('num_occur', 'score', 1)","('num_occur', 'index', 2)","('num_occur', 'score', 2)","('num_occur', 'index', 3)","('num_occur', 'score', 3)","('num_occur', 'index', 4)","('num_occur', 'score', 4)","('percentage_of_terms', 'index', 0)","('percentage_of_terms', 'score', 0)","('percentage_of_terms', 'index', 1)","('percentage_of_terms', 'score', 1)","('percentage_of_terms', 'index', 2)","('percentage_of_terms', 'score', 2)","('percentage_of_terms', 'index', 3)","('percentage_of_terms', 'score', 3)","('percentage_of_terms', 'index', 4)","('percentage_of_terms', 'score', 4)","('td-idf', 'index', 0)","('td-idf', 'score', 0)","('td-idf', 'index', 1)","('td-idf', 'score', 1)","('td-idf', 'index', 2)","('td-idf', 'score', 2)","('td-idf', 'index', 3)","('td-idf', 'score', 3)","('td-idf', 'index', 4)","('td-idf', 'score', 4)","('word_order', 'index', 0)","('word_order', 'score', 0)","('word_order', 'index', 1)","('word_order', 'score', 1)","('word_order', 'index', 2)","('word_order', 'score', 2)",truth,"('word_order', 'index', 3)","('word_order', 'score', 3)","('word_order', 'index', 4)","('word_order', 'score', 4)"
0,166,7,307,5,444,5,148,4,106,4,72,1.0,789,0.8,496,0.6,339,0.6,363,0.6,201,0.27603145058538986,900,0.23971152287678588,503,0.23356507357225295,132,0.21730684057702748,838,0.1897716222774555,339,5,72.0,4.0,789.0,2.0,72,962.0,2.0,363.0,2.0
0,12,5,46,5,746,5,31,4,741,4,73,1.0,64,0.6,77,0.6,164,0.6,178,0.6,57,0.18479572391754748,89,0.15561745172003996,372,0.14827612096075973,805,0.14827612096075973,905,0.14827612096075973,73,4,866.0,3.0,590.0,2.0,73,203.0,2.0,982.0,2.0
0,747,8,903,7,502,6,813,4,280,3,74,0.8,912,0.4,112,0.4,280,0.4,351,0.4,74,0.4599136698053049,410,0.3247041725837907,731,0.22526383827198607,903,0.2179521158439143,641,0.17484070831434886,74,6,280.0,0.0,707.0,0.0,74,387.0,0.0,912.0,0.0
0,858,7,224,6,545,6,854,6,446,5,75,1.0,204,0.6,224,0.6,420,0.6,423,0.6,552,0.36954211323937414,201,0.2903581217798336,785,0.20324816228165576,875,0.18477105661968707,971,0.18477105661968707,75,4,545.0,1.0,420.0,1.0,75,808.0,1.0,854.0,1.0
0,601,4,839,4,329,4,26,3,279,3,76,1.0,0,0.4,83,0.4,169,0.4,227,0.4,188,0.36025364749834543,514,0.317023209798544,161,0.2974607998246797,244,0.2602781998465947,583,0.24261980341725303,76,6,0.0,0.0,320.0,0.0,76,770.0,0.0,227.0,0.0
0,12,5,46,5,746,5,31,4,741,4,77,1.0,64,0.4,73,0.4,164,0.4,178,0.4,57,0.18479572391754748,89,0.15561745172003996,372,0.147836579134038,657,0.147836579134038,805,0.147836579134038,77,4,64.0,0.0,480.0,0.0,77,866.0,0.0,164.0,0.0
0,6,8,141,6,78,4,433,3,663,3,78,1.0,701,0.4,713,0.4,0,0.2,6,0.2,257,0.10767011643021096,713,0.1008723249846543,6,0.09335634782893495,683,0.09017374506203946,139,0.0826592663068695,78,5,713.0,0.0,701.0,0.0,78,,,,
0,12,5,46,5,746,5,31,4,741,4,79,1.0,119,0.4,124,0.4,137,0.4,335,0.4,57,0.18479572391754748,89,0.15561745172003996,309,0.15278461053214085,372,0.147836579134038,657,0.147836579134038,79,4,668.0,0.0,648.0,0.0,79,137.0,0.0,909.0,0.0
0,33,10,141,5,871,5,80,4,400,4,80,1.0,838,0.6,900,0.6,690,0.4,141,0.4,201,0.3511597058295662,875,0.32832255556160117,503,0.2971351357019406,838,0.18143172500691726,171,0.18057740555888066,80,9,838.0,3.0,900.0,1.0,80,871.0,0.0,141.0,0.0
0,408,8,166,7,322,6,444,5,336,4,81,1.0,992,0.4,663,0.4,32,0.4,382,0.4,890,0.2220456080645397,371,0.14151189840163228,801,0.14151189840163228,939,0.13766827700001463,62,0.13664525189063512,81,4,672.0,1.0,912.0,1.0,81,992.0,0.0,32.0,0.0
0,728,15,984,13,802,8,521,7,803,7,82,1.0,84,0.6,26,0.4,98,0.4,345,0.4,675,0.5095658223243495,135,0.4367707048494425,26,0.3650154556388577,223,0.3397105482162331,449,0.3397105482162331,82,8,84.0,2.0,98.0,0.0,82,424.0,0.0,296.0,0.0
0,382,7,83,6,444,6,331,5,767,4,83,1.0,322,0.6,327,0.6,336,0.6,114,0.4,212,0.40873824949762244,366,0.40873824949762244,349,0.25030595818184476,318,0.24583620892859753,914,0.16926427500001798,83,4,322.0,1.0,327.0,1.0,83,336.0,1.0,328.0,0.0
0,728,15,984,13,802,8,521,7,803,7,84,1.0,82,0.6,98,0.6,26,0.4,306,0.4,26,0.3650154556388577,424,0.34109447331170356,450,0.3143188645779052,451,0.3143188645779052,82,0.2901404903796048,84,6,82.0,2.0,398.0,0.0,84,663.0,0.0,279.0,0.0
0,85,5,211,5,423,4,196,4,254,4,85,1.0,800,0.6,69,0.4,75,0.4,173,0.4,68,0.5645109597191957,201,0.2903581217798336,503,0.24568764150601305,420,0.12784725385247558,69,0.1249416344467375,85,5,3.0,0.0,523.0,0.0,85,269.0,0.0,671.0,0.0
0,166,7,444,5,106,4,104,3,123,3,86,1.0,54,0.6,60,0.6,62,0.6,65,0.6,62,0.14827612096075973,127,0.14827612096075973,372,0.14827612096075973,805,0.14827612096075973,905,0.14827612096075973,62,4,86.0,4.0,97.0,4.0,86,921.0,4.0,128.0,3.0
0,166,7,444,5,106,4,822,4,123,3,87,1.0,412,0.8,417,0.4,724,0.4,889,0.4,369,0.34479032270727633,62,0.19448407210972932,127,0.19448407210972932,372,0.19448407210972932,805,0.19448407210972932,412,4,87.0,4.0,921.0,2.0,87,62.0,2.0,97.0,2.0
0,521,3,123,3,33,2,384,2,599,2,88,1.0,134,0.2,307,0.2,0,0.2,18,0.2,251,0.13851131447566456,723,0.11990531700878425,88,0.11892767151946498,633,0.08732235043031027,758,0.08604267312500914,88,7,,,,,88,,,,
0,46,5,394,5,746,5,31,4,741,4,89,1.0,346,0.6,589,0.6,946,0.6,961,0.6,675,0.4607436391713622,57,0.34555772937852164,678,0.22115694680225384,109,0.21265091038678255,156,0.18429745566854489,89,5,58.0,1.0,961.0,1.0,89,589.0,1.0,339.0,1.0
0,742,8,224,8,384,7,123,7,544,6,90,1.0,2,0.4,112,0.4,209,0.4,280,0.4,417,0.2493764872649214,930,0.1662509915099476,91,0.147250878194525,165,0.11203871166974728,281,0.10888269162271215,90,4,679.0,1.0,428.0,1.0,90,384.0,0.0,0.0,0.0
0,544,7,990,6,253,5,19,4,568,3,91,1.0,724,0.4,19,0.2,114,0.2,118,0.2,899,0.4422015642890245,490,0.357519368971012,157,0.2979328074758433,917,0.2860154951768096,91,0.25268660816515687,91,7,724.0,0.0,,,91,,,,
0,766,13,137,10,224,9,247,9,222,9,92,1.0,701,0.8,54,0.6,141,0.6,173,0.6,168,0.46365238823994875,647,0.46365238823994875,222,0.43543006895577796,261,0.3927408465091331,240,0.3837123213020266,858,7,92.0,6.0,224.0,6.0,92,854.0,6.0,13.0,5.0
0,224,8,742,8,123,7,384,7,502,6,93,1.0,502,0.6,19,0.4,31,0.4,54,0.4,62,0.13664525189063512,161,0.13013833513393822,188,0.12422295626421376,378,0.12422295626421376,921,0.12422295626421376,93,4,968.0,1.0,513.0,0.0,93,260.0,0.0,901.0,0.0
0,259,4,963,4,633,3,900,3,920,3,94,1.0,95,0.8,502,0.4,195,0.4,284,0.4,565,0.8294021714601931,94,0.5278013818383047,675,0.5095658223243495,135,0.4367707048494425,223,0.3397105482162331,94,8,793.0,2.0,95.0,2.0,94,195.0,0.0,724.0,0.0
0,259,4,963,4,633,3,900,3,920,3,95,1.0,94,0.8,502,0.4,724,0.4,0,0.2,565,0.8294021714601931,94,0.5278013818383047,95,0.29029076001106763,127,0.2120180206338787,179,0.2120180206338787,94,4,95.0,4.0,724.0,0.0,95,502.0,0.0,,
0,700,12,494,7,296,6,525,6,476,4,96,1.0,337,0.6,51,0.2,63,0.2,112,0.2,494,0.3808351739278394,30,0.3511597058295662,82,0.2971351357019406,525,0.2897067573093921,157,0.2868089104166971,96,7,337.0,1.0,,,96,,,,
0,166,7,444,5,259,4,963,4,106,4,97,1.0,102,1.0,141,0.8,195,0.8,166,0.6,352,0.42812910976017193,179,0.2120180206338787,127,0.19448407210972932,62,0.19448407210972932,372,0.19448407210972932,97,8,141.0,4.0,102.0,3.0,97,195.0,3.0,62.0,2.0
0,984,13,700,12,96,8,521,7,494,7,98,1.0,29,0.8,84,0.8,296,0.8,48,0.6,494,0.3808351739278394,26,0.3650154556388577,450,0.3143188645779052,451,0.3143188645779052,82,0.2971351357019406,98,5,296.0,3.0,48.0,3.0,98,29.0,2.0,30.0,1.0
